node1 node2 combined_score
RAD52 SMG7 0.357
IKBKB IRAK2 0.899
TP53 TNFRSF10A 0.899
RAD17 RFC4 0.997
PIK3CA TNFRSF1A 0.621
IKBKG MAP3K14 0.924
ERCC2 XAB2 0.899
CHEK2 BRCA2 0.621
DCLRE1C MRE11A 0.959
IL1B NFKB2 0.899
DCLRE1C NBN 0.619
ATR ERCC4 0.29
LIG4 PNKP 0.934
TRADD NFKB1 0.899
RAD23B GTF2H3 0.899
TNF CHUK 0.621
CETN2 SHFM1 0.266
XPC MLH1 0.232
RFC3 PARP1 0.386
RIPK1 NFKBIA 0.899
CSF2RB PIK3R2 0.8
MAP3K14 TRAF2 0.994
CASP3 TNFRSF1A 0.8
RAD54L RAD51 0.621
PCNA LIG1 0.974
CETN2 PPP3CC 0.234
RAD54L RAD52 0.388
DDB1 CHEK1 0.621
RFC5 TOPBP1 0.917
BIRC3 TNFRSF1A 0.983
PIK3CG NTRK1 0.8
PMS2 NTHL1 0.202
HMGB1 ERCC1 0.16
TDG TP53 0.621
CASP8 BID 0.991
APEX2 UNG 0.579
PIK3CD AKT3 0.837
APAF1 CASP3 0.983
RAD52 ERCC4 0.621
DDB2 RPA1 0.296
PMS2 MSH6 0.841
XRCC6 RFC4 0.579
CHEK2 NBN 0.621
IKBKG CASP10 0.899
ERCC5 ATR 0.385
CETN2 XPC 0.993
TNFRSF10B TNFRSF10A 0.839
RAD17 POLE 0.619
AKT2 CASP9 0.8
MLH3 NTHL1 0.202
BAD BCL2L1 0.999
RFC5 PARP2 0.388
PRKDC RAD50 0.8
ERCC2 GTF2H1 0.993
APAF1 BCL2L1 0.937
POLD3 RPA3 0.899
APAF1 TP53 0.899
RAD1 FEN1 0.619
BRCA1 MLH1 0.77
XPC MNAT1 0.899
CETN2 ERCC4 0.899
XRCC1 MPG 0.619
CHEK2 XRCC1 0.619
TRADD TNFRSF1A 0.999
NFKB1 NFKB2 0.964
RAD23A TP53 0.619
IKBKG TNFRSF1A 0.959
RPA2 GTF2H1 0.619
RPA2 RPA3 0.999
CHEK2 RAD54L 0.384
PCNA POLD4 0.983
CHUK NFKB1 0.988
LIG4 POLD1 0.191
BAD AKT3 0.862
PIK3CA AKT3 0.834
PCNA PIK3CD 0.247
IKBKG IKBKB 0.999
CFLAR RIPK1 0.993
RFC3 XRCC6 0.581
RFC5 POLD4 0.899
POLD1 NTHL1 0.388
BRCA1 CHEK1 0.621
IL3 PIK3CA 0.959
MNAT1 CDK7 0.998
POLE PMS2 0.229
XRCC6 CFLAR 0.621
IL3RA BAX 0.8
TNF TRADD 0.996
RAD52 RPA1 0.937
RELA IKBKG 0.899
MAP3K14 CASP10 0.845
BCL2 CASP3 0.845
RAD52 FEN1 0.581
IRAK1 IKBKB 0.983
RAD54B ERCC4 0.191
HMGB1 NFKB1 0.621
CASP10 TNFRSF10A 0.982
MYD88 IL1A 0.899
FEN1 ERCC1 0.581
RAD17 FEN1 0.623
DDB1 CDK7 0.899
PIK3R1 IL1R1 0.983
MYD88 IL1RAP 0.967
ERCC2 ERCC5 0.959
FEN1 APEX1 0.959
AIFM1 PMS2 0.307
DFFA CASP7 0.919
BRCA2 ATM 0.959
RPA2 PARP1 0.462
FEN1 MSH2 0.639
CFLAR NFKB1 0.621
TRAF2 IL1R1 0.8
FEN1 NTHL1 0.386
RFC3 RAD54L 0.19
RAD52 ATR 0.577
BID RPA1 0.621
PARP1 NBN 0.621
ERCC2 CDK7 0.983
GTF2H5 GTF2H1 0.621
RFC3 XRCC5 0.579
ERCC4 NTHL1 0.623
PIK3R4 PIK3C3 0.989
EXO1 DMC1 0.191
LIG4 ERCC4 0.386
RAD54L XRCC5 0.226
PRKACB CAPN1 0.23
NBN MSH6 0.333
MUS81 RAD50 0.29
RFC5 PCNA 0.999
RELA BRCA1 0.845
PPP3CA CHEK2 0.268
CASP9 PIK3CB 0.8
MSH5 MSH4 0.988
RFC4 PARP2 0.386
ERCC5 MNAT1 0.899
GTF2H1 GTF2H4 0.999
RELA IL1R1 0.899
RFC3 TOPBP1 0.917
IRAK1 NFKBIA 0.191
XAB2 CCNH 0.899
APEX2 ERCC1 0.639
ATR PIK3CA 0.345
CHUK RIPK1 0.899
ATM MSH2 0.333
LIG3 XRCC1 0.999
AKT2 NFKBIA 0.8
IKBKB AKT3 0.8
PCNA OGG1 0.579
XPA MLH1 0.234
FAS TNFRSF10B 0.538
FEN1 MLH1 0.386
PRKACG IL3 0.899
FASLG IKBKB 0.899
XPA GTF2H1 0.983
RELA PRKACG 0.899
RPA2 UNG 0.621
CAST CASP3 0.621
XPA APEX2 0.623
RAD23B GTF2H1 0.959
ERCC2 MNAT1 0.978
POLD4 FEN1 0.899
AKT2 PIK3R1 0.8
XPA NTHL1 0.607
POLD1 RPA3 0.899
XPA RAD52 0.356
CAST CAPNS1 0.845
CASP8 TNFRSF1A 0.979
RFC3 RFC4 0.983
CHEK1 POLD1 0.388
TNF BAD 0.19
RFC4 POLD3 0.899
RAD54L PAK7 0.16
RPA2 MSH6 0.489
XRCC5 NBN 0.23
ERCC3 MNAT1 0.998
RELA TRADD 0.899
UNG APEX1 0.408
RFC1 MLH1 0.333
XAB2 CDK7 0.899
BCL2L1 BAX 0.999
DCLRE1C XRCC5 0.913
RFC4 CHEK1 0.899
APAF1 BAX 0.8
CCNH CDK7 0.999
POLD4 POLD1 0.999
DCLRE1C FEN1 0.224
CHEK1 MSH2 0.621
BIRC3 TRAF2 0.998
TP53 RPA1 0.998
CHUK PRKDC 0.621
RPA2 XRCC5 0.639
DCLRE1C RAD50 0.959
ERCC2 MRE11A 0.386
ATM RPA3 0.899
MUTYH PCNA 0.845
MNAT1 GTF2H4 0.934
PPP3CC MLH1 0.207
RFC5 POLD2 0.918
RELA NFKB2 0.983
FASLG CFLAR 0.899
RFC3 RAD54B 0.19
CHEK1 CDC6 0.901
XRCC6 MSH2 0.619
PRKDC NBN 0.23
IKBKB NFKB1 0.993
BID CAPN2 0.619
APEX2 ERCC4 0.671
BCL2L1 AKT3 0.8
BRCA1 PIK3R1 0.31
CHEK2 PPP3CC 0.268
POLD2 FEN1 0.934
PPP3CB MLH1 0.207
TRADD CFLAR 0.8
PIK3C2A PMS2 0.307
ERCC5 RPA3 0.899
TOPBP1 CDC6 0.899
RELA MAP3K14 0.8
RAD23B CDK7 0.899
RAD1 ERCC4 0.633
ATR XRCC5 0.23
CASP9 PIK3R1 0.8
BRCA1 ATM 0.999
TP53 GTF2H1 0.845
TNF IKBKB 0.845
MYD88 FADD 0.983
POLD2 RAD52 0.356
ATR CDC6 0.621
RAD52 RPA3 0.978
APAF1 CASP6 0.899
ERCC5 DMC1 0.388
MUS81 DMC1 0.505
MYD88 NGF 0.899
PRKDC APEX1 0.8
CHUK NGF 0.899
ERCC3 DDB2 0.899
ERCC5 RAD50 0.291
IRAK1 IRAK2 0.989
RAD17 PIK3CD 0.247
CHEK1 RPA3 0.899
PIK3R1 NFKBIA 0.959
PIK3R5 PIK3R3 0.899
NTRK1 PIK3CB 0.8
BRCA2 RPA3 0.899
XPC ERCC1 0.899
CASP8 CASP6 0.993
MNAT1 GTF2H3 0.977
PMS2L3 NTHL1 0.202
PIK3CB NBN 0.621
CASP3 BIRC2 0.993
XPC GTF2H3 0.899
CFLAR FADD 0.999
BRCA1 RAD50 0.997
RAD54L EME1 0.621
CASP8 TRADD 0.998
PRKACB PRKAR2B 0.58
XRCC5 PRKDC 0.999
LIG4 XRCC5 0.983
RAD1 DMC1 0.577
XRCC6 MRE11A 0.621
CAPN1 IL1A 0.621
XRCC5 RPA1 0.639
MYD88 BIRC3 0.734
CASP8 NFKB1 0.899
TRADD BIRC2 0.959
RFC3 PCNA 0.998
XAB2 MNAT1 0.899
BRCA1 MSH3 0.831
IKBKG FADD 0.983
CASP8 CFLAR 0.999
PRKAR1B BAD 0.8
CSF2RB PIK3R1 0.959
CHUK TNFRSF1A 0.959
PPP3CB IRAK1 0.569
RAD54B MRE11A 0.294
MUTYH APEX1 0.845
IRAK4 TNFRSF1A 0.188
ERCC2 RAD23B 0.899
GTF2H1 RPA1 0.619
XPC ERCC8 0.899
TNFRSF10D TP53 0.899
XPA RAD23B 0.947
OGG1 MSH6 0.744
BID BIRC3 0.899
ORC1L RFC4 0.205
XRCC6 APEX1 0.621
AKT2 PRKDC 0.621
TP53 CCNH 0.621
PIK3CD PIK3R1 0.959
ERCC5 CCNH 0.899
BCL2 TP53 0.997
FADD CASP10 0.999
LIG3 NBN 0.23
NTHL1 ERCC1 0.491
CHEK2 ORC1L 0.579
FEN1 PMS2L3 0.201
IRAK4 NFKB2 0.236
POLD1 RFC1 0.917
GTF2H4 GTF2H3 0.995
BID BAD 0.899
FASLG BIRC3 0.899
MYD88 TRAF2 0.23
RAD51 MLH1 0.931
XPC RPA3 0.899
PCNA UNG 0.938
ATR EXO1 0.577
ERCC2 DDB2 0.899
XAB2 ERCC5 0.899
CFLAR TNFRSF10B 0.997
TRADD TRAF2 0.999
XRCC6 MUS81 0.384
FADD RIPK1 0.999
XRCC4 XRCC5 0.959
PRKACB PRKAR2A 0.58
DDB1 GTF2H3 0.899
CSF2RB PIK3R5 0.8
ERCC4 MSH2 0.639
MUS81 FEN1 0.621
RAD23B MPG 0.621
GTF2H1 ERCC8 0.899
DDB1 ERCC8 0.997
MUS81 APEX1 0.291
CHEK1 RAD51 0.959
EXO1 RAD50 0.728
EME1 FEN1 0.621
MAP3K14 AKT1 0.899
FAS TNFRSF1A 0.538
IRAK1 AKT1 0.621
AKT2 AKT1 0.959
ERCC2 DCLRE1C 0.237
RAD54B XRCC5 0.226
XRCC4 RAD50 0.899
CASP3 BIRC3 0.959
ERCC4 ERCC8 0.899
RAD23A GTF2H1 0.619
AKT1 PIK3R2 0.899
ATR RAD50 0.671
IKBKB CASP10 0.899
BRCA1 MSH6 0.885
ERCC4 PMS2 0.29
PCNA XPC 0.621
CASP8 PARP2 0.621
CHEK1 TOPBP1 0.924
DCLRE1C PRKDC 0.983
PRKAR1B PRKAR2A 0.899
DDB1 GTF2H1 0.899
BID CASP10 0.813
GTF2H2 GTF2H1 0.986
POLD2 POLD1 0.999
AKT2 PIK3CD 0.837
RFC3 ATM 0.386
IKBKG ATM 0.983
RAD52 MLH1 0.579
ERCC8 CCNH 0.899
XPA RAD23A 0.505
CASP3 AKT1 0.845
MSH6 MLH1 0.866
MSH3 MSH2 0.999
PRKAR2B TNFRSF1A 0.621
XRCC5 XPC 0.508
CHEK2 RAD54B 0.384
DFFB CASP3 0.899
DFFB PARP2 0.48
PIK3CD IL3RA 0.8
CHEK2 RAD17 0.577
CCNH GTF2H3 0.968
POLD1 MSH2 0.758
IL1A IL1R1 0.959
XPA CCNH 0.899
CHUK TNFSF10 0.899
RAD52 APEX1 0.263
POLD2 APEX1 0.899
MYD88 IRAK4 0.999
BRCA1 BRAP 0.845
ERCC4 MSH6 0.291
XPA PRKDC 0.845
ERCC8 POLD1 0.899
PCNA XRCC1 0.845
FEN1 RAD50 0.643
MAP3K14 IL1R1 0.619
RAD23A XPC 0.621
MSH4 RPA3 0.899
CASP8 NFKBIA 0.8
RFC5 CHEK1 0.899
CASP3 MLH1 0.621
APEX2 OGG1 0.575
RFC3 POLE 0.899
RAD17 RAD1 0.937
XRCC6 FEN1 0.581
CFLAR TRAF2 0.845
TRAF2 TNFRSF1A 0.999
BRCA1 XRCC5 0.621
ERCC5 MUS81 0.671
CHUK MAP3K14 0.999
IRAK1 IL1RAP 0.919
PPP3CB BAD 0.8
RAD54B MUS81 0.575
DCLRE1C RAD52 0.184
MLH3 MSH2 0.54
BRCA2 PMS2 0.207
CASP8 BCL2L1 0.845
GTF2H1 DDB2 0.899
PCNA FEN1 0.999
PNKP ERCC4 0.579
ATR NTHL1 0.238
TNFRSF10B TNFRSF1A 0.538
XPC RAD51 0.191
DFFB NFKB2 0.163
PPP3CB PPP3R1 0.924
RAD23B ERCC4 0.899
FEN1 RFC1 0.386
MYD88 IRAK2 0.999
RFC3 RAD52 0.23
AKT3 PIK3R3 0.8
ERCC2 TP53 0.621
PPP3CA MAP3K14 0.224
RAD52 MSH4 0.163
PMS2 MLH1 0.999
MRE11A CDC6 0.227
AKT2 CASP3 0.621
NTHL1 DMC1 0.229
BRCA1 TOPBP1 0.983
CASP8 MAP3K14 0.845
TNFRSF10C FADD 0.8
ERCC4 CCNH 0.899
ATR DMC1 0.291
XRCC5 CHEK1 0.619
CASP8 CASP7 0.993
CHEK1 AKT1 0.825
XPA UNG 0.491
RAD1 LIG1 0.386
BID CASP3 0.937
RAD23B GTF2H4 0.16
CHUK IRAK2 0.899
CAPN1 NFKBIA 0.621
RAD52 LIG1 0.355
PIK3R1 PIK3R2 0.899
ERCC4 DDB1 0.899
PCNA BRCA1 0.899
ERCC5 GTF2H2 0.621
RAD50 MLH1 0.333
RFC4 RPA1 0.296
XPA RPA3 0.899
CASP9 PIK3R5 0.8
RELA CHUK 0.999
XRCC6 LIG4 0.983
LIG4 POLE 0.386
ERCC8 CDK7 0.899
RAD52 ERCC5 0.579
MSH2 ERCC1 0.639
RELA NGF 0.899
PRKACA NFKB1 0.621
CASP8 IKBKB 0.959
PRKACG NFKB1 0.899
RFC1 PARP2 0.388
CAST CAPN1 0.845
IL1A IL1RAP 0.919
RAD51 RFC1 0.269
XRCC6 NTHL1 0.356
RFC5 RPA3 0.899
CHEK2 XPA 0.577
IKBKB TP53 0.845
PCNA RPA2 0.619
ERCC3 CDK7 0.998
IRAK1 IL1R1 0.983
CASP6 BIRC3 0.8
TP53 CASP6 0.899
DDB1 RPA3 0.899
RAD17 RAD52 0.16
RFC3 RPA1 0.296
RAD23B POLD1 0.899
XRCC4 PNKP 0.989
PPP3CA BCL2 0.845
POLE MSH6 0.671
RELA IL1B 0.899
RAD50 POLD1 0.671
SMG7 RAD51 0.232
TP53 MSH6 0.619
ERCC8 MNAT1 0.899
IL3RA IL3 0.993
MYD88 CHUK 0.899
CASP3 BAD 0.899
RAD17 ATR 0.825
APAF1 FAS 0.621
BRCA1 PRKDC 0.571
ERCC5 OGG1 0.293
RELA TNFRSF1A 0.899
IRAK1 IL1A 0.899
CASP9 PIK3CA 0.8
CHEK1 MSH6 0.619
ERCC5 PMS2L3 0.165
MRE11A RFC1 0.333
CSF2RB PIK3R3 0.8
RPA1 ERCC1 0.607
AKT2 BAD 0.899
RAD52 ERCC1 0.669
CASP8 BCL2 0.937
PMS2 POLD1 0.234
LIG4 RAD54B 0.226
XAB2 GTF2H1 0.899
POLD3 POLD1 0.999
PRKDC MSH6 0.619
XRCC6 CHEK1 0.619
IKBKB TNFRSF10A 0.899
NFKBIA NFKB2 0.913
CAST CASP7 0.621
ATR MSH6 0.619
CASP9 CASP3 0.993
RAD52 LIG4 0.579
ERCC2 RAD52 0.621
POLE OGG1 0.252
RAD17 CDC6 0.955
OGG1 XPC 0.621
XRCC6 RAD51 0.388
PIK3CG PIK3R5 0.983
AKT1 PIK3R5 0.899
RIPK1 TNFRSF1A 0.999
TNF TRAF2 0.984
BRCA1 RPA1 0.619
AKT2 IKBKB 0.8
ERCC3 MSH2 0.386
PPP3CB PPP3CC 0.899
XRCC6 RAD50 0.75
LIG4 MRE11A 0.386
ATM RPA1 0.386
ERCC4 ERCC3 0.899
RFC5 RFC1 0.999
PIK3CB PIK3R1 0.993
AKT2 IKBKG 0.8
XRCC5 PNKP 0.899
XAB2 ERCC4 0.899
ERCC3 TP53 0.845
FEN1 RPA3 0.899
RIPK1 NFKB1 0.959
RELA RIPK1 0.899
TDG RAD23B 0.621
LIG3 PNKP 0.859
ERCC4 RAD51 0.388
RPA1 DMC1 0.621
XPA ERCC5 0.908
EXO1 MSH2 0.994
ERCC4 PMS2L3 0.201
OGG1 FEN1 0.293
CSF2RB PIK3CB 0.8
DDB1 MSH3 0.228
MLH3 PMS2 0.621
AKT3 NFKBIA 0.8
IRAK1 IL1B 0.899
PPP3CA CASP3 0.621
MLH3 MSH3 0.607
BCL2 BID 0.999
BRCA1 RPA3 0.899
RFC4 POLD1 0.934
TRADD RIPK1 0.983
RIPK1 TNFRSF10A 0.959
LIG3 RAD52 0.355
IKBKG FASLG 0.899
POLE TOPBP1 0.621
XPC POLD1 0.913
ERCC5 NTHL1 0.621
PRKACG BAD 0.8
ERCC4 OGG1 0.16
TNFRSF10D CASP10 0.899
IKBKB TRAF2 0.994
PIK3R4 ATM 0.386
MNAT1 CCNH 0.989
EME1 MUS81 0.996
FADD IL1R1 0.8
MPG APEX1 0.899
OGG1 APEX1 0.954
AKT2 PIK3CG 0.834
EXO1 FEN1 0.581
PIK3CD NTRK1 0.8
RAD23A SHFM1 0.435
POLE POLD1 0.744
NGF IKBKB 0.899
RPA2 DDB2 0.358
CASP8 TRAF2 0.992
PCNA DDB1 0.44
RAD52 POLE 0.254
RFC5 PARP1 0.388
POLD2 RFC3 0.918
PIK3R1 GTF2H1 0.619
OGG1 MSH2 0.581
XRCC6 ERCC5 0.358
RPA2 RFC1 0.601
EXO1 MSH6 0.238
BID BCL2L1 0.999
CASP8 BIRC3 0.899
ERCC5 GTF2H3 0.899
ATR TP53 0.999
XPA ERCC4 0.964
POLD2 RAD17 0.581
TRADD BIRC3 0.899
XRCC1 PARP2 0.621
IRAK2 IL1R1 0.983
FAS BID 0.538
XRCC5 RAD50 0.577
ERCC2 POLD1 0.384
RAD52 EXO1 0.24
MSH3 POLD1 0.351
RAD52 PNKP 0.356
MLH3 ATM 0.899
BRCA2 MLH3 0.899
PIK3R1 AKT1 0.959
RAD17 CHEK1 0.934
DFFB DFFA 0.998
ERCC2 ERCC8 0.899
RAD17 MRE11A 0.581
RAD52 CHEK1 0.232
RAD52 MUS81 0.667
XRCC6 PRKDC 0.999
FADD IL1RAP 0.8
IL1A IRAK2 0.899
BAD PRKAR2A 0.8
PMS2L3 POLD1 0.234
XPA FEN1 0.386
ERCC2 RAD51 0.621
ORC1L RFC1 0.205
RFC3 CHEK1 0.899
IKBKG TRAF2 0.918
PCNA MLH1 0.386
POLD1 DMC1 0.351
DCLRE1C MSH2 0.358
PCNA RFC4 0.998
PCNA MLH3 0.23
AKT2 BCL2 0.8
CHEK2 RAD1 0.671
RFC4 TOPBP1 0.917
POLE NTHL1 0.252
XPC CCNH 0.959
RAD51 POLD1 0.491
RAD23B DDB1 0.899
PRKACA PRKAR2B 0.58
ATM MLH1 0.928
CASP8 TNFSF10 0.999
IL1B IL1R1 0.998
MUS81 UNG 0.291
RAD54L RAD1 0.227
ATM CDC6 0.621
FADD TNFSF10 0.999
PIK3R1 PIK3R5 0.899
MUS81 CHEK1 0.386
FAS FADD 0.999
CASP9 CASP7 0.959
LIG4 RAD1 0.16
DCLRE1C XRCC6 0.899
IRAK2 IL1RAP 0.8
CHEK2 XRCC6 0.669
XPC DMC1 0.191
PIK3R1 AKT3 0.8
NTRK1 PIK3CA 0.8
EXO1 MLH1 0.998
RFC3 RFC1 0.999
PRKACG IL3RA 0.899
FASLG FADD 0.997
AKT2 PIK3CB 0.837
PIK3CA IL1B 0.899
ERCC2 GTF2H2 0.997
MRE11A FEN1 0.76
XRCC5 RFC1 0.621
TNFRSF10D FADD 0.8
XAB2 DDB1 0.575
PPP3CA PPP3CB 0.899
RAD51 RPA1 0.917
ERCC2 GTF2H5 0.621
IKBKG TNFRSF10A 0.899
PCNA TP53 0.959
RFC5 RAD17 0.983
CASP6 BIRC2 0.8
MRE11A MSH2 0.333
RIPK1 NFKB2 0.899
CASP8 CASP3 0.998
IL3 PIK3R1 0.899
FADD TNFRSF10A 0.997
RAD23B ERCC5 0.899
MSH5 OGG1 0.201
RAD50 NTHL1 0.252
MAP3K14 FADD 0.899
IKBKB NFKB2 0.923
GTF2H1 ERCC1 0.959
RAD1 DCLK1 0.16
POLD2 POLD3 0.999
PARP1 RFC1 0.388
GTF2H4 CDK7 0.956
XPC RFC1 0.507
DCLRE1C ATM 0.959
MSH6 ERCC1 0.235
XRCC6 EXO1 0.671
MSH5 ERCC1 0.235
SMG7 RAD50 0.357
XPA RPA2 0.974
TNFRSF10B RIPK1 0.959
GTF2H2 ERCC8 0.621
DCLRE1C MSH6 0.238
MSH4 MLH1 0.959
ATR POLD1 0.345
RPA2 PRKDC 0.937
MLH3 RPA3 0.899
MAP3K14 RIPK1 0.959
IL3RA PIK3CB 0.8
CFLAR CASP3 0.845
HMGB1 CASP3 0.585
RAD1 RPA1 0.619
CHEK2 CHEK1 0.758
RAD23B BRCA1 0.591
CASP7 RAD51 0.621
APAF1 CASP8 0.619
DDB1 MNAT1 0.899
XRCC6 ATR 0.671
CHEK2 RAD50 0.959
ATR CHEK1 0.993
XPA MNAT1 0.899
CSF2RB PRKACG 0.899
MAP3K14 CDC6 0.29
ERCC4 DMC1 0.388
PCNA POLE 0.993
BRCA1 MSH4 0.899
RFC5 LIG1 0.386
XRCC5 RAD23A 0.435
FADD TNFRSF10B 0.996
CHUK TRAF2 0.986
POLD4 RFC1 0.899
PPP3CA BAD 0.919
XRCC4 ATM 0.899
XAB2 ERCC8 0.959
PPP3CA AKT1 0.619
IRAK4 IL1A 0.899
RELA NFKB1 0.999
BRCA1 AKT1 0.937
CASP9 BCL2L1 0.619
XRCC6 POLE 0.291
PRKDC NFKB1 0.367
RFC3 LIG1 0.579
PIK3R5 AKT3 0.8
ERCC3 ERCC1 0.899
RFC3 PARP2 0.386
CFLAR BIRC3 0.899
RFC5 RPA1 0.296
PARP1 CASP7 0.959
CASP10 TNFRSF10B 0.979
ERCC8 ERCC1 0.899
NGF NTRK1 0.999
RPA2 RAD51 0.5
LIG1 RFC1 0.386
CASP9 BIRC3 0.965
CHEK1 ATM 0.981
PPP3CA CETN2 0.234
RAD17 PCNA 0.619
PPP3CC PPP3R1 0.899
GTF2H5 MNAT1 0.384
IL1B IL1A 0.899
MLH1 RPA3 0.899
BRCA1 CASP3 0.621
GTF2H1 RPA3 0.899
MAP3K14 BIRC3 0.959
MSH3 MLH1 0.66
BRCA1 MSH2 0.952
CSF2RB PIK3CG 0.8
IKBKG BIRC3 0.619
ERCC5 ERCC8 0.899
TRADD TNFSF10 0.899
ERCC5 FEN1 0.625
ERCC2 GTF2H4 0.959
APEX2 MUS81 0.291
POLD2 CHEK1 0.581
RFC3 FEN1 0.232
CASP10 RIPK1 0.983
ERCC2 FEN1 0.386
XPA DDB2 0.959
RFC3 CDC6 0.915
ATR RFC1 0.29
MRE11A RPA3 0.899
POLE APEX1 0.227
IL1R1 IL1RAP 0.996
PCNA RAD50 0.579
ERCC4 GTF2H3 0.899
RFC1 TOPBP1 0.227
RAD23A MPG 0.621
CFLAR TNFSF10 0.998
CASP10 CASP6 0.621
EXO1 OGG1 0.293
RAD17 RAD54L 0.388
MRE11A LIG1 0.621
RPA2 MSH2 0.224
ERCC4 CDK7 0.899
PRKACB CHEK1 0.293
ORC1L XRCC5 0.621
FEN1 DMC1 0.388
TP53 MNAT1 0.621
BRCA1 TP53 0.999
APEX2 POLD1 0.388
BID ATM 0.899
BCL2 PRKACA 0.621
MYD88 IL1B 0.899
GTF2H1 GTF2H3 0.977
XRCC6 RAD52 0.605
FASLG CASP8 0.999
CHUK CASP8 0.959
ERCC5 XPC 0.899
ERCC5 PMS2 0.228
IRAK1 NGF 0.899
BIRC3 RIPK1 0.992
CASP10 TP53 0.899
XRCC6 BAX 0.983
TRADD FADD 0.999
AKT2 PIK3CA 0.834
FADD BIRC2 0.899
ATR NBN 0.647
RPA2 EXO1 0.619
PRKDC PMS2 0.307
TP53 RFC1 0.621
PNKP MUS81 0.291
AIFM1 MLH1 0.307
BRCA1 MNAT1 0.754
PIK3C2A MLH1 0.307
BAD AKT1 0.983
TP53 LIG1 0.613
ERCC2 RAD54B 0.226
DDB2 CCNH 0.899
ERCC2 MUS81 0.386
APEX1 ERCC1 0.577
AKT2 CHUK 0.962
MUS81 NTHL1 0.385
PARP1 RAD50 0.229
PRKACG PRKAR2A 0.899
IKBKB BIRC2 0.54
RELA AKT3 0.802
FASLG BID 0.95
RFC1 MSH2 0.333
